index,food_id,name,category,kcal,protein,nacl,potassium,phosphate
0,69420,Ananas,Obst,59,0.5,0.0,173,9
1,69421,Apfel getrocknet,Obst,248,1.4,0.0,627,50
2,69422,Apfel roh,Obst,52,0.4,0.0,144,11
3,69423,Apfelmus,Obst,79,0.4,0.0,114,7
4,69424,Apfelsaft,Getränke,43,0.7,0.0,143,15
5,69425,Aubergine gegart ohne Salz,Gemüse und Salate,17,1.3,0.0,187,21
6,69426,Avocado,Gemüse und Salate,217,1.9,0.0,504,38
7,69427,Banane,Obst,95,1.2,0.0,394,28
8,69428,Barbecue0Grillsauce,Soßen Fette,146,1.8,3.0,464,52
9,69429,Bier hell,Getränke,43,0.5,0.0,95,32
10,69430,Birne,Obst,52,0.5,0.0,125,15
11,69431,Blumenkohl gegart ohne Salz,Gemüse und Salate,18,2.2,0.0,245,49
12,69432,Blumenkohl roh,Gemüse und Salate,23,2.5,0.0,328,54
13,69433,Bohnen (Schneidbohnen) grün,Gemüse und Salate,12,1.2,0.6,143,24
14,69434,Butter,Soßen Fette,741,0.7,0.0,16,21
15,69435,Camembert (45 % Fett i.Tr.),Milch und Milchprodukte,288,21.0,1.8,150,350
16,69436,Cashew0Nuss,Nüsse,569,17.2,0.0,552,373
17,69437,Emmentaler (45 % Fett i.Tr.),Milch und Milchprodukte,400,28.9,0.7,95,627
18,69438,Erbsen Konserve abgetropft,Gemüse und Salate,70,6.2,0.6,177,94
19,69439,Erbsen grün frisch,Gemüse und Salate,82,6.6,0.0,304,108
20,69440,Erdbeere,Obst,32,0.8,0.0,145,25
21,69441,Erdnussbutter,Aufstriche,597,26.1,0.6,760,362
22,69442,Erdnussflips,Süßigkeiten Knabbereien,529,9.7,2.0,165,107
23,69443,Feta,Milch und Milchprodukte,236,17.0,3.0,150,360
24,69444,Fleischwurst,Fleisch Wurst Fisch Eier,252,16.2,2.5,300,148
25,69445,Forelle blau,Fleisch Wurst Fisch Eier,115,20.3,0.3,327,216
26,69446,Frischkäse Doppelrahmstufe,Milch und Milchprodukte,335,11.0,1.0,90,150
27,69447,Geleefrüchte,Süßigkeiten Knabbereien,329,1.6,0.0,123,11
28,69448,Gurke frisch,Gemüse und Salate,12,1.0,0.0,165,15
29,69449,Haselnuss,Nüsse,636,11.9,0.0,635,337
30,69450,Heidelbeere,Obst,42,0.6,0.0,73,13
31,69451,Himbeere,Obst,34,1.3,0.0,170,45
32,69452,Honig,Aufstriche,306,0.4,0.0,47,18
33,69453,Huhn Brathuhn,Fleisch Wurst Fisch Eier,166,19.7,0.2,339,200
34,69454,Hühnerrei 1 Stück 60 g,Fleisch Wurst Fisch Eier,82,7.7,0.1,80,128
